location,ds,yhat,yhat_lower,yhat_upper
India,2020-04-25,4011.2437943609934,-36460.24861159736,44965.04427882087
India,2020-04-26,5779.566134842537,-33810.98886440182,45337.30572669736
India,2020-04-27,7454.31394042572,-30614.19324893251,45850.38856011851
India,2020-04-28,9197.499757041935,-31314.72316322141,48488.19718413118
India,2020-04-29,10915.325529666574,-29921.50858566872,50482.78757969995
India,2020-04-30,12595.0362839862,-25659.213168283153,53242.6269344879
India,2020-05-01,14277.59055819876,-26641.70949938991,56835.10251162521
India,2020-05-02,15920.601877301502,-25763.634323274367,53540.40243776475
India,2020-05-03,17588.549321287905,-22594.20344451713,56524.298075802435
India,2020-05-04,19070.79874946343,-21247.974928366646,58471.373179587026
India,2020-05-05,20526.50947892987,-20069.596212625936,57243.45641242464
India,2020-05-06,21860.157767208322,-18126.101630379904,66026.42006795754
India,2020-05-07,23058.545490103414,-16216.737823060344,64299.641709800984
India,2020-05-08,24163.602759156056,-14854.363900220706,65596.66418810003
India,2020-05-09,25135.4333100883,-15453.825678184478,64626.598253373966
India,2020-05-10,26042.59596559919,-14253.790551667593,65838.45129265147
India,2020-05-11,26680.159861920634,-13855.79628954349,67742.18400254563
India,2020-05-12,27214.60537628453,-14406.781588174752,70877.27335533428
India,2020-05-13,27559.30036342226,-11910.997610623752,67153.31514911892
India,2020-05-14,27711.419543101845,-14256.233842468264,66374.52042068969
India,2020-05-15,27724.616465306775,-9739.602880654249,69954.23125213379
India,2020-05-16,27571.898799769588,-13737.747916749226,66754.98021548933
India,2020-05-17,27335.703366032954,-16600.665353915214,68740.97917620068
India,2020-05-18,26825.712832347126,-14605.452915621812,65778.39397543766
India,2020-05-19,26223.491279691283,-13300.164226526249,64048.597752911206
India,2020-05-20,25457.674381622466,-13545.521443812433,63211.440061013054
India,2020-05-21,24540.58890336333,-13911.48295939596,64418.888409323605
India,2020-05-22,23540.618340423516,-15423.175920229736,62447.02279649579
India,2020-05-23,22444.77316496821,-19533.286067187615,59218.524219581916
India,2020-05-24,21348.469930392668,-16123.629902572924,59688.044036092026
India,2020-05-25,20073.068888654107,-19577.070957706797,58852.89220047072
India,2020-05-26,18810.25471613506,-23429.644255479216,57797.62320399432
India,2020-05-27,17497.002959901925,-22560.306383708827,57629.495046318785
India,2020-05-28,16152.0130334717,-24151.575924247878,53746.12811764502
India,2020-05-29,14847.92979471035,-24176.608029760242,55665.60609536881
India,2020-05-30,13573.816320545788,-25701.746052242346,55291.106946523665
India,2020-05-31,12424.885085714744,-26529.723149509176,53033.83603528845
India,2020-06-01,11220.038877246117,-30215.967217476973,51111.36588311026
India,2020-06-02,10146.306382868004,-33382.88073127222,50833.1729311757
India,2020-06-03,9133.914055592508,-31758.874889552506,50195.71125448763
India,2020-06-04,8192.87274246169,-30858.67725726627,51778.83754917807
